bin_index,R,planned_base_exposure,delivered_base_exposure
517,1.4314285714285715,3.1110582639714637,3.111058263971511
518,1.4400000000000004,3.1912009512485136,3.1912009512485375
519,1.4485714285714284,3.2722948870392394,3.2722948870392834
520,1.4571428571428573,3.354340071343638,3.354340071343649
521,1.4657142857142862,3.4373365041617125,3.437336504161675
522,1.4742857142857142,3.52128418549346,3.521284185493388
523,1.482857142857143,3.6061831153388835,3.6061831153388346
524,1.491428571428572,3.6920332936979787,3.6920332936980653
525,1.5,3.778834720570749,3.778834720570802
526,1.508571428571429,3.8665873959571937,3.866587395957257
527,1.5171428571428578,3.955291319857313,3.955291319857338
528,1.5257142857142858,4.044946492271106,4.044946492271082
529,1.5342857142857147,4.135552913198572,4.135552913198507
530,1.5428571428571427,4.227110582639715,4.22711058263965
531,1.5514285714285716,4.31961950059453,4.319619500594417
532,1.5600000000000005,4.413079667063021,4.413079667063053
533,1.5685714285714285,4.507491082045184,4.507491082045218
534,1.5771428571428574,4.602853745541023,4.602853745541013
535,1.5857142857142863,4.699167657550535,4.69916765755059
536,1.5942857142857143,4.796432818073723,4.796432818073734
537,1.6028571428571432,4.894649227110582,4.8946492271105955
538,1.611428571428572,4.993816884661118,4.993816884661094
539,1.62,5.093935790725327,5.093935790725435
540,1.628571428571429,5.19500594530321,5.195005945303272
541,1.637142857142857,5.297027348394768,5.297027348394816
542,1.645714285714286,5.4,5.400000000000001
543,1.6542857142857148,0.0,0.0
544,1.6628571428571428,0.0,0.0
545,1.6714285714285717,0.0,0.0
546,1.6800000000000006,0.0,0.0
547,1.6885714285714286,0.0,0.0
548,1.6971428571428575,0.0,0.0
549,1.7057142857142855,0.0,0.0
550,1.7142857142857144,0.0,0.0
551,1.7228571428571433,0.0,0.0
552,1.7314285714285713,0.0,0.0
553,1.7400000000000002,0.0,0.0
554,1.748571428571429,0.0,0.0
555,1.7571428571428571,0.0,0.0
556,1.765714285714286,0.0,0.0
557,1.774285714285715,0.0,0.0
558,1.782857142857143,0.0,0.0
559,1.7914285714285718,0.0,0.0
560,1.7999999999999998,0.0,0.0
561,1.8085714285714287,0.0,0.0
562,1.8171428571428576,0.0,0.0
563,1.8257142857142856,0.0,0.0
564,1.8342857142857145,0.0,0.0
565,1.8428571428571434,0.0,0.0
566,1.8514285714285714,0.0,0.0
567,1.8600000000000003,0.0,0.0
568,1.8685714285714292,0.0,0.0
569,1.8771428571428572,0.0,0.0
570,1.8857142857142861,0.0,0.0
571,1.8942857142857141,0.0,0.0
572,1.902857142857143,0.0,0.0
573,1.911428571428572,0.0,0.0
574,1.92,0.0,0.0
575,1.9285714285714288,0.0,0.0
576,1.9371428571428577,0.0,0.0
577,1.9457142857142857,0.0,0.0
578,1.9542857142857146,0.0,0.0
579,1.9628571428571435,0.0,0.0
580,1.9714285714285715,0.0,0.0
581,1.9800000000000004,0.0,0.0
582,1.9885714285714284,0.0,0.0
583,1.9971428571428573,0.0,0.0
584,2.0057142857142862,0.0,0.0
585,2.0142857142857142,0.0,0.0
586,2.022857142857143,0.0,0.0
587,2.031428571428572,0.0,0.0
588,2.04,0.0,0.0
589,2.048571428571429,0.0,0.0
590,2.057142857142858,0.0,0.0
591,2.065714285714286,0.0,0.0
592,2.0742857142857147,0.0,0.0
593,2.0828571428571427,0.0,0.0
594,2.0914285714285716,0.0,0.0
595,2.1000000000000005,0.0,0.0
596,2.1085714285714285,0.0,0.0
597,2.1171428571428574,0.0,0.0
598,2.1257142857142863,0.0,0.0
599,2.1342857142857143,0.0,0.0
600,2.1428571428571432,0.0,0.0
601,2.1514285714285712,0.0,0.0
602,2.16,0.0,0.0
603,2.168571428571429,0.0,0.0
604,2.177142857142857,0.0,0.0
605,2.185714285714286,0.0,0.0
606,2.194285714285715,0.0,0.0
607,2.202857142857143,0.0,0.0
608,2.2114285714285717,0.0,0.0
609,2.2200000000000006,0.0,0.0
610,2.2285714285714286,0.0,0.0
611,2.2371428571428575,0.0,0.0
612,2.2457142857142856,0.0,0.0
613,2.2542857142857144,0.0,0.0
614,2.2628571428571433,0.0,0.0
615,2.2714285714285714,0.0,0.0
616,2.2800000000000002,0.0,0.0
617,2.288571428571429,0.0,0.0
618,2.297142857142857,0.0,0.0
